field,quad,subquad,raedge1,raedge2,decedge1,decedge2
1141,0,2,106.01085819827168,107.38488528190936,-18.489333010646778,-17.218488586165897
1141,0,3,106.03444859816759,107.39913993375853,-17.248408083991126,-15.97773812256871
1141,1,0,104.76749185569791,106.13122531082543,-15.980026163579303,-14.716847763058738
1141,1,1,104.79737361982062,106.15322066062673,-14.739469981044033,-13.47583793374058
1141,1,2,106.0576905423678,107.41406283558344,-16.005501308641996,-14.734527677576835
1141,1,3,106.08023525649591,107.42878103700198,-14.764498485869893,-13.49371901393853
1141,2,0,107.33130680270575,108.6972890196349,-18.501479993751495,-17.22848047711907
1141,2,1,107.34972498296993,108.70647983202365,-17.26337714133293,-15.989984410710845
1141,2,2,108.63660715082297,109.99362251410439,-18.51501573984201,-17.232990295744965
1141,2,3,108.64626954516423,109.99416704125461,-17.276522489937864,-15.994763487335286
1141,3,0,107.35011177626588,108.69825075182524,-16.023264287482288,-14.744687629694399
1141,3,1,107.3647060996666,108.70511085735114,-14.782596001447402,-13.503655095207952
1141,3,2,108.64061798809261,109.9811878673001,-16.03394512882029,-14.747645717470279
1141,3,3,108.64784798683762,109.98076222776547,-14.792914335376969,-13.506897723541682
1142,0,0,109.69214794197848,111.07496840737325,-18.449741048252093,-17.18827625213136
1142,0,1,109.72459926097989,111.09799907538233,-17.209360019805086,-15.947404606508822
1142,0,2,110.99961900975353,112.37366866781291,-18.47675139275081,-17.20615314884902
1142,0,3,111.02331583670889,112.38803644318916,-17.235888392985686,-15.965463902925768
1142,1,0,109.75651377484678,111.12034926355352,-15.967195788483748,-14.704405109544494
1142,1,1,109.78660333552214,111.1425583353752,-14.726738207901537,-13.463492829834992
1142,1,2,111.04659462810318,112.40308031268262,-15.992946351105845,-14.722366314361185
1142,1,3,111.06935505073544,112.41801971295868,-14.752041161177319,-13.481654016968491
1142,2,0,112.30816638383287,113.6738453343051,-18.494452791721308,-17.216112079798553
1142,2,1,112.32371775128392,113.68017808008346,-17.25387403509053,-15.975157638331726
1142,2,2,113.6160729723887,114.97271477713903,-18.505307427266207,-17.217929406568043
1142,2,3,113.62283836179144,114.97037518372781,-17.264354847778122,-15.977264393159299
1142,3,0,112.33896118900734,113.68707264548057,-16.010913828393857,-14.732639544172224
1142,3,1,112.35365760887233,113.69404177878238,-14.770365384770736,-13.491726377881978
1142,3,2,113.62933065072767,114.96988322189371,-16.021766161999285,-14.735775585709323
1142,3,3,113.63667059538459,114.96957414931067,-14.780854765843735,-13.495146264327506
1143,0,0,114.69640665962267,116.07898661252665,-18.43870727330415,-17.177063200961033
1143,0,1,114.7286780498785,116.10184646483285,-17.19831561699032,-15.936182245813564
1143,0,2,116.00381969660832,117.37763277296862,-18.465554327088988,-17.194783724264184
1143,0,3,116.02734283922963,117.3918360369773,-17.224681928455123,-15.954086327957004
1143,1,0,114.76040374891748,116.12406724678631,-15.956281927291053,-14.693301824445596
1143,1,1,114.79033637435265,116.1461270994896,-14.715784818478184,-13.4523509984249
1143,1,2,116.05047027518758,117.40678778125886,-15.98188866979215,-14.711125304084018
1143,1,3,116.0730792830583,117.42158353891509,-14.740944866327695,-13.470375370495725
1143,2,0,117.31232091431326,118.67772975252608,-18.48308793596824,-17.204528316775686
1143,2,1,117.32765994665817,118.68385972701088,-17.242492244890354,-15.96355837537291
1143,2,2,118.620173234807,119.9765487162694,-18.493747300024246,-17.20615754728784
1143,2,3,118.62673268426738,119.97401283178044,-17.252779154721548,-15.965478338315938
1143,3,0,117.34293295005457,118.69070860095958,-15.999515794072215,-14.72108562876205
1143,3,1,117.3574116568969,118.6974696913965,-14.759018806209205,-13.48022523955955
1143,3,2,118.63318983074154,119.97341120744773,-16.01016521941662,-14.724026531015694
1143,3,3,118.64031890856731,119.97290103323883,-14.769306540682564,-13.483451095506688
1144,0,0,119.68849048763578,121.07111549810281,-18.42612278899383,-17.164637813623944
1144,0,1,119.72095322648978,121.09417236411831,-17.185724612483963,-15.923749145567575
1144,0,2,120.99574736488465,122.36961577109888,-18.453130483740793,-17.182525261441317
1144,0,3,121.01946973448597,122.38402348961591,-17.2122504628901,-15.941818943255987
1144,1,0,119.75259254125716,121.11639024372559,-15.94359281136135,-14.680815454385122
1144,1,1,119.78277307605258,121.13870279721588,-14.703074896357233,-13.439842468622865
1144,1,2,121.04253275608275,122.39899444904015,-15.969416654508407,-14.698861740310454
1144,1,3,121.06539695947819,122.41404974056412,-14.728450790758808,-13.458088324288084
1144,2,0,122.30416354436068,123.66964503431939,-18.47085697287062,-17.19239185022221
1144,2,1,122.31967426376833,123.67595161552836,-17.23021201827205,-15.951371498833652
1144,2,2,123.61190676487746,124.96836425547559,-18.481657552599074,-17.19416785128608
1144,2,3,123.61864496865071,124.9660116460143,-17.240639052288437,-15.953437105135738
1144,3,0,122.33516917204966,123.6830245797961,-15.987390442250199,-14.708960845137476
1144,3,1,122.34976815795086,123.6899108929439,-14.746801502856645,-13.468007789807743
1144,3,2,123.62537616554597,124.96568476217575,-15.998132961875525,-14.712000125667418
1144,3,3,123.63263165672338,124.96530566230376,-14.757181650616733,-13.471331380637634
1145,0,0,124.6839750619221,126.06675155193955,-18.419291937236135,-17.15794882558154
1145,0,1,124.71664013298407,126.09001224019428,-17.178876594572344,-15.917041636742542
1145,0,2,125.99117118289473,127.36519740009682,-18.446454565465007,-17.17599358690986
1145,0,3,126.01509994793095,127.379812649942,-17.205556121199553,-15.935267498690674
1145,1,0,124.74846812453755,126.11251318664755,-15.936918173359233,-14.67400293399651
1145,1,1,124.77875353263293,126.13493124366185,-14.696206289610135,-13.432835254837238
1145,1,2,126.0385397347069,127.39525123908061,-15.962803969976523,-14.692112034363232
1145,1,3,126.06151054262334,127.4104135918386,-14.721643454469973,-13.451143522363772
1145,2,0,127.29965168171455,128.6651584759192,-18.464278039942705,-17.186077426249014
1145,2,1,127.3153646577718,128.67167017432104,-17.223733651097454,-15.945156361758562
1145,2,2,128.607211310388,129.9637020374366,-18.47523378066172,-17.188012461691038
1145,2,3,128.6141572599346,129.9615596530163,-17.234314632115396,-15.947379612112544
1145,3,0,127.33076298527627,128.67895784957707,-15.98071924086728,-14.702663199655017
1145,3,1,127.34576484977572,128.68624648608233,-14.740141140224027,-13.46171866959225
1145,3,2,128.6208896015571,129.9615460933077,-15.991812648376138,-14.706054787785629
1145,3,3,128.62855201859156,129.96157280675712,-14.750869974867026,-13.465392352804285
1146,0,0,129.69008541112328,131.07289280073795,-18.413131486484044,-17.151897451954774
1146,0,1,129.72282137783117,131.096227218319,-17.172711029059336,-15.91098472882881
1146,0,2,130.9972366173103,132.37129897034245,-18.44040454611613,-17.170055447093343
1146,0,3,131.02123988426558,132.38599136322534,-17.199500601112693,-15.929323366540224
1146,1,0,129.7550264440985,131.11880893880326,-15.930833440475613,-14.66825045857665
1146,1,1,129.78534708512882,131.14126827113648,-14.690363453937637,-13.427324735633189
1146,1,2,131.04480375036752,132.40125987105236,-15.956796915319973,-14.686443199712933
1146,1,3,131.06781592282616,132.41646946601296,-14.715878369596993,-13.445716263080868
1146,2,0,132.3056088312304,133.67130542596647,-18.45836528870893,-17.180238429023888
1146,2,1,132.32145124359351,133.6779470935397,-17.21772751765313,-15.9392230758631
1146,2,2,133.61321934250034,134.96990458109968,-18.46948625732281,-17.182339643572902
1146,2,3,133.62029697508487,134.96789417491144,-17.22847286144906,-15.941611718147103
1146,3,0,132.3372832945655,133.68521282887326,-15.975057138438473,-14.696830331499417
1146,3,1,132.35206901587347,133.69229115437633,-14.734480365299047,-13.455888416470888
1146,3,2,133.62736740134793,134.9677598099307,-15.985983540107265,-14.700059291830486
1146,3,3,133.6348168402201,134.96757955030503,-14.745043421516765,-13.459400604426154
1147,0,0,134.69079130272056,136.07363962863283,-18.40827024433032,-17.147155770170603
1147,0,1,134.72365162474046,136.0971005474888,-17.167908716482952,-15.906301173276436
1147,0,2,135.99785376201223,137.37196157738566,-18.435600150778175,-17.165373053482632
1147,0,3,136.02198504963414,137.38678390060156,-17.19475439216929,-15.924698309982391
1147,1,0,134.75795317779122,136.12185366500876,-15.927432655277919,-14.66492158172564
1147,1,1,134.78839538590287,136.14443518158973,-14.686971957729163,-13.424004425134902
1147,1,2,136.04772048254395,137.40429727229557,-15.953456715002392,-14.683175808057298
1147,1,3,136.07085615154307,137.41963079907603,-14.712546785381756,-13.442456815896678
1147,2,0,137.30606999947153,138.67196448185982,-18.453794874438238,-17.1757703320368
1147,2,1,137.32210400313033,138.67879758467495,-17.213136901148783,-15.934733446884744
1147,2,2,138.61367687514604,139.9705642249076,-18.465035796189216,-17.177992156854625
1147,2,3,138.62094851537637,139.96874737648258,-17.2240009298218,-15.937241521576814
1147,3,0,137.3379422475282,138.68610454202593,-15.970366082170585,-14.69226972714883
1147,3,1,137.35294711896654,138.69340188760833,-14.729767299491716,-13.451304494539801
1147,3,2,138.62802877501107,139.96865817988402,-15.98144129806799,-14.695648212080908
1147,3,3,138.6356997258625,139.968698997479,-14.740477923204027,-13.454965054639546
1148,0,0,139.67810313537387,141.06142976198655,-18.402635656786856,-17.141873097422145
1148,0,1,139.71138678789976,141.08531084310496,-17.16221201893754,-15.900953462133538
1148,0,2,140.98519994974276,142.35979443443352,-18.430369150850417,-17.160492944797053
1148,0,3,141.00975710372333,142.37503884492207,-17.189458561108733,-15.919750554655884
1148,1,0,139.74391703452918,141.10832557590464,-15.920087164350033,-14.65777447840119
1148,1,1,139.7747398893907,141.13128589378772,-14.679465657947386,-13.416694194714792
1148,1,2,141.03379009259461,142.3908816687201,-15.946465171701243,-14.676382396826527
1148,1,3,141.05730886888844,142.406595936783,-14.705392271961818,-13.43549835005007
1148,2,0,142.29360605844744,143.6597236093691,-18.4486392958683,-17.17103254819994
1148,2,1,142.3099715519534,143.6668879590725,-17.208069590748877,-15.930081771328068
